"catmat","item_tratado","outcome","doador_catmat","descricao_doador","omega"
445485,"Água mineral sem gás retornável","median_preco","463748","LEGUME IN NATURA, TIPO: ABÓBORA CABOTIÁ / JAPONESA ",0.00247131009523893
445485,"Água mineral sem gás retornável","median_preco","463749","LEGUME IN NATURA, TIPO: ABOBRINHA ITALIANA ",0.000785519382142526
445485,"Água mineral sem gás retornável","median_preco","459672","MASSA DE TOMATE, TIPO: MOLHO PRONTO , COMPOSIÇÃO: TRADICIONAL , APRESENTAÇÃO: LÍQUIDO ",0.000373358767299144
463990,"Açúcar cristal orgânico","n_fornecedores","447446","CARNE BOVINA IN NATURA, TIPO CORTE: PATINHO , APRESENTAÇÃO: MOIDA , ESTADO DE CONSERVAÇÃO: CONGELADO(A) ",0.338646969196199
463990,"Açúcar cristal orgânico","n_fornecedores","298881","SUCO, APRESENTAÇÃO: LÍQUIDO , SABOR: UVA , TIPO: NATURAL , CARACTERÍSTICAS ADICIONAIS: PRONTO PARA CONSUMO E EMBALAGEM TIPO LONGA VIDA ",0.224187922480633
463990,"Açúcar cristal orgânico","n_fornecedores","463970","CEREAL MATINAL/LANCHES, TIPO: FLOCOS PRÉ-COZIDOS , INGREDIENTES PRINCIPAIS: MILHO , INGREDIENTES ADICIONAIS: FORTIFICADO COM VITAMINAS E MINERAIS , CARACTERÍSTICA ADICIONAL: COM AÇÚCAR ",0.156666953730347
463990,"Açúcar cristal orgânico","n_fornecedores","446626","OVO PROCESSADO, ORIGEM: CODORNA , APRESENTAÇÃO: EM CONSERVA ",0.117429985131773
463990,"Açúcar cristal orgânico","n_fornecedores","447470","CARNE BOVINA IN NATURA, TIPO CORTE: MAMINHA DA ALCATRA , APRESENTAÇÃO: PEÇA INTEIRA , ESTADO DE CONSERVAÇÃO: CONGELADO(A) ",0.0658245674369868
463990,"Açúcar cristal orgânico","n_fornecedores","462675","DOCE NÃO CONFEITADO, TIPO: EM CALDA , SABOR: FIGO ",0.0567918570967777
463990,"Açúcar cristal orgânico","n_fornecedores","339482","BEBIDA LÁCTEA, SABOR: MORANGO , APRESENTAÇÃO: SACO POLIETILENO , CARACTERÍSTICA ADICIONAIS: COM POLPA DE FRUTAS ",0.0349465732171
463990,"Açúcar cristal orgânico","n_fornecedores","436134","ADOÇANTE, ASPECTO FÍSICO: LÍQUIDO , INGREDIENTES: SUCRALOSE, ACESULFAME DE POTáSSIO, BENZOATO DE SÓD , TIPO: DIETÉTICO , CARACTERÍSTICAS ADICIONAIS: ACIDULANTE áCIDO CíTRICO,CITRATO DE SÓDIO ",0.00550517171018305
463990,"Açúcar cristal orgânico","n_combinacoes_unidade","451938","EMBUTIDO, TIPO: LINGUIÇA DE FRANGO , TAMANHO: GROSSA , TIPO PREPARAÇÃO: FRESCA , ESTADO DE CONSERVAÇÃO: CONGELADO(A) ",0.27947320617089
463990,"Açúcar cristal orgânico","n_combinacoes_unidade","462244","MASSA ALIMENTÍCIA, TIPO: PARA PASTEL , BASE DA MASSA: FARINHA DE TRIGO REFINADA , APRESENTAÇÃO: FRESCA/RESFRIADA , TAMANHO: MÉDIA , FORMATO: DISCOS ",0.258998273026496
463990,"Açúcar cristal orgânico","n_combinacoes_unidade","481121","VERDURA IN NATURA*, TIPO: REPOLHO VERDE , ESPÉCIE: COMUM , APLICAÇÃO: CULINÁRIA EM GERAL , CARACTERÍSTICAS ADICIONAIS: 1ª QUALIDADE/FOLHA VERDE VIVO/SEM FUNGOS. ",0.192224277198454
463990,"Açúcar cristal orgânico","n_combinacoes_unidade","447733","CARNE SALGADA, TIPO CORTE: COXÃO MOLE - CHARQUE , ORIGEM: BOVINA , APRESENTAÇÃO: EM MANTAS , ESTADO DE CONSERVAÇÃO: SECO(A) ",0.172382896973389
463990,"Açúcar cristal orgânico","n_combinacoes_unidade","464396","FRUTA, TIPO: LARANJA SELETA , APRESENTAÇÃO: NATURAL ",0.0590293357266978
463990,"Açúcar cristal orgânico","n_combinacoes_unidade","464441","FRUTA, TIPO: UVA RUBI , APRESENTAÇÃO: NATURAL ",0.0293385992568141
